G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-10,32-338,NYK,@,TOR,W (+2),0,5:16,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,0.2,0,4.0
2,2015-11-11,32-339,NYK,@,CHO,L (-2),0,14:20,4,4,1.000,0,0,,1,1,1.000,1,3,4,1,1,1,0,5,9,9.8,+1,4.0
3,2015-11-13,32-341,NYK,,CLE,L (-6),0,19:45,0,1,.000,0,0,,1,2,.500,2,4,6,0,0,2,1,2,1,2.1,+1,4.0
4,2015-11-15,32-343,NYK,,NOP,W (+8),0,10:27,1,3,.333,0,0,,1,2,.500,2,0,2,0,0,0,0,1,3,1.9,-7,4.0
5,2015-11-17,32-345,NYK,,CHO,W (+8),0,7:22,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,3,0,-0.9,-4,4.0
6,2015-11-21,32-349,NYK,@,HOU,W (+5),0,7:32,0,0,,0,0,,0,2,.000,0,0,0,1,0,0,1,2,0,-1.9,-4,4.0
7,2015-11-23,32-351,NYK,@,MIA,L (-17),0,9:58,2,5,.400,0,0,,2,3,.667,1,1,2,0,0,0,0,2,6,3.1,+6,4.0
8,2015-11-25,32-353,NYK,@,ORL,L (-9),0,4:21,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0,4.0
9,2015-11-27,32-355,NYK,,MIA,L (-19),0,5:02,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+1,4.0
10,2015-12-04,32-362,NYK,,BRK,W (+17),0,3:34,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,0,2,0.6,-3,4.0
11,2015-12-09,33-002,NYK,@,UTA,L (-21),0,9:57,4,6,.667,0,0,,2,6,.333,1,3,4,1,3,0,0,2,10,10.3,+8,4.0
12,2015-12-18,33-011,NYK,@,PHI,W (+10),0,5:02,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,1,0,0,0.0,-13,4.0
13,2015-12-23,33-016,NYK,@,CLE,L (-7),0,8:47,1,3,.333,0,0,,0,0,,3,2,5,0,0,0,1,1,2,1.6,+2,4.0
14,2016-01-12,33-036,NYK,,BOS,W (+6),0,3:10,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-4,4.0
15,2016-01-16,33-040,NYK,@,MEM,L (-8),0,4:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1,4.0
16,2016-01-18,33-042,NYK,,PHI,W (+6),0,3:27,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,1.9,+1,4.0
17,2016-01-22,33-046,NYK,,LAC,L (-28),0,4:15,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.0,+3,4.0
18,2016-01-23,33-047,NYK,@,CHO,L (-13),0,12:52,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,1,6,2,0.3,-4,4.0
19,2016-01-28,33-052,NYK,@,TOR,L (-10),0,9:03,1,2,.500,0,0,,1,3,.333,2,0,2,0,0,1,1,3,3,1.1,-5,4.0
20,2016-01-29,33-053,NYK,,PHO,W (+18),0,6:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-7,4.0
21,2016-01-31,33-055,NYK,,GSW,L (-21),0,6:17,1,5,.200,0,0,,0,0,,1,0,1,2,0,0,1,3,2,-1.2,-2,4.0
22,2016-02-07,33-062,NYK,,DEN,L (-5),0,2:06,1,1,1.000,0,0,,0,2,.000,1,0,1,0,0,0,0,0,2,1.6,-5,4.0
23,2016-03-09,33-093,NYK,@,PHO,W (+31),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,4.0
24,2016-03-16,33-100,NYK,@,GSW,L (-36),0,8:26,0,2,.000,0,0,,2,2,1.000,2,0,2,1,0,2,1,1,2,2.7,-4,4.0
25,2016-03-20,33-104,NYK,,SAC,L (-8),0,8:09,0,3,.000,0,0,,0,0,,2,0,2,2,0,1,0,1,0,1.0,-6,4.0
26,2016-03-26,33-110,NYK,,CLE,L (-14),0,7:06,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,+2,4.0
27,2016-04-01,33-116,NYK,,BRK,W (+14),0,1:38,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+4,4.0
28,2016-04-06,33-121,NYK,,CHO,L (-14),0,4:13,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,4,1,0,-5.5,-4,4.0
29,2016-04-12,33-127,NYK,@,IND,L (-12),0,7:41,0,2,.000,0,0,,2,2,1.000,2,0,2,0,0,0,0,2,2,1.2,-3,4.0
